Ewe/V	<I>/mA	
1,0026508E-001	1,725509922549703E+001
1,0028800E-001	1,725277738515212E+001
1,0027272E-001	1,725172560137311E+001
1,0023832E-001	1,725380719017081E+001
1,0024597E-001	1,725400059303825E+001
1,0023832E-001	1,725289346028933E+001
1,0025361E-001	1,724885876818606E+001
1,0023068E-001	1,725035323958307E+001
1,0024979E-001	1,725368979095215E+001
1,0026508E-001	1,725390262626941E+001
1,0024215E-001	1,725083953300661E+001
1,0021540E-001	1,724959696171667E+001
1,0027654E-001	1,725189963244440E+001
1,0025361E-001	1,725146793001040E+001
1,0020394E-001	1,724875657816578E+001
1,0025361E-001	1,724616622546973E+001
1,0027272E-001	1,724956758663964E+001
1,0026125E-001	1,724920679752224E+001
1,0025361E-001	1,724802659729712E+001
1,0025361E-001	1,724364843938012E+001
1,0026126E-001	1,724577442744042E+001
1,0024597E-001	1,724683874173732E+001
1,0025743E-001	1,724589444048972E+001
1,0028035E-001	1,724398526990926E+001
1,0027272E-001	1,724091689023885E+001
1,0023068E-001	1,724355992466841E+001
1,0024215E-001	1,724467083816388E+001
1,0020012E-001	1,724255382036443E+001
1,0022686E-001	1,723736797008999E+001
1,0021540E-001	1,723878527626288E+001
1,0019629E-001	1,724112530279599E+001
1,0024597E-001	1,724253581842611E+001
1,0021923E-001	1,724012622554602E+001
1,0018866E-001	1,723863062156537E+001
1,0023833E-001	1,724120375166578E+001
1,0022304E-001	1,724476586914162E+001
1,0030711E-001	1,724266213297398E+001
1,0020394E-001	1,724104446783301E+001
1,0025361E-001	1,724053975514326E+001
1,0021922E-001	1,724234505647366E+001
1,0027272E-001	1,724107879133547E+001
1,0026125E-001	1,723691835192983E+001
1,0021540E-001	1,723569484420849E+001
1,0023069E-001	1,724009454066974E+001
1,0022304E-001	1,724261539453896E+001
1,0026507E-001	1,723850526908418E+001
1,0021922E-001	1,723473990109965E+001
1,0024979E-001	1,723661239031322E+001
1,0026125E-001	1,723993800875965E+001
1,0023451E-001	1,723786170713250E+001
1,0021540E-001	1,723605844666519E+001
1,0023451E-001	1,723492078527475E+001
1,0023069E-001	1,723799394323508E+001
1,0021540E-001	1,723802112486113E+001
1,0025743E-001	1,723606174103783E+001
1,0025361E-001	1,723541422972997E+001
1,0020012E-001	1,723655959032409E+001
1,0022686E-001	1,723655764101374E+001
1,0023068E-001	1,723618911950479E+001
1,0021158E-001	1,723659931658241E+001
1,0023451E-001	1,723683200396622E+001
1,0018483E-001	1,723955349947260E+001
1,0025743E-001	1,724144218360234E+001
1,0021922E-001	1,723857664436064E+001
1,0023833E-001	1,723726490345226E+001
1,0022304E-001	1,724001208827508E+001
1,0024215E-001	1,724301150775392E+001
1,0018484E-001	1,723466503842686E+001
