Ewe/V	<I>/mA	
3,5096416E-001	2,363725439381916E+002
3,5089168E-001	2,360447419584752E+002
3,5094509E-001	2,362985092286798E+002
3,5095653E-001	2,368504419574665E+002
3,5096416E-001	2,368275161603786E+002
3,5095653E-001	2,359976766344102E+002
3,5094890E-001	2,361408107047985E+002
3,5096034E-001	2,365693162637192E+002
3,5093743E-001	2,370367950658119E+002
3,5095653E-001	2,362277994338027E+002
3,5096034E-001	2,360563124818387E+002
3,5094127E-001	2,363490217391111E+002
3,5093364E-001	2,368921427306147E+002
3,5094509E-001	2,367203416367971E+002
3,5092983E-001	2,359848792158740E+002
3,5091072E-001	2,361938613805772E+002
3,5094506E-001	2,366417490239482E+002
3,9205414E-001	2,668277044945410E+002
4,0089104E-001	2,704221665360284E+002
4,0088341E-001	2,679742693184276E+002
4,0088722E-001	2,678271186005989E+002
4,0091774E-001	2,682114013190469E+002
4,0087193E-001	2,688982479855680E+002
4,0091392E-001	2,685432553130260E+002
4,0087959E-001	2,678993273731750E+002
4,0086815E-001	2,683769202136092E+002
4,0092534E-001	2,690436306308423E+002
4,0090629E-001	2,695174723725489E+002
4,0086815E-001	2,684097129573575E+002
4,0092537E-001	2,685870946757057E+002
4,0087956E-001	2,690962640428165E+002
4,0089485E-001	2,697818829993457E+002
4,0087193E-001	2,692057961500757E+002
4,0090629E-001	2,686283646047268E+002
4,0088341E-001	2,690547967260951E+002
4,0089485E-001	2,696392451600489E+002
4,0084904E-001	2,698920603275684E+002
4,0087575E-001	2,687369793596679E+002
4,0087959E-001	2,690014791893478E+002
4,0090248E-001	2,694877335046101E+002
4,0089867E-001	2,700968163569109E+002
4,0091392E-001	2,693070676858371E+002
4,0086815E-001	2,688907720942659E+002
4,0089104E-001	2,693688132806586E+002
4,0084523E-001	2,699583809102985E+002
4,0085670E-001	2,700100917575521E+002
4,0084904E-001	2,689078251525580E+002
4,0092155E-001	2,692528650477491E+002
4,0093300E-001	2,697606153230271E+002
4,0089104E-001	2,702650769629681E+002
4,0088722E-001	2,693155053264312E+002
4,0084141E-001	2,690789314557086E+002
4,0082997E-001	2,695911977894504E+002
4,0088722E-001	2,701299192874346E+002
4,0087959E-001	2,699498634418216E+002
4,0092155E-001	2,689722595658069E+002
4,0089867E-001	2,693909349364910E+002
4,0091011E-001	2,699044435493167E+002
4,0088341E-001	2,702966059920849E+002
4,0087959E-001	2,692777155854862E+002
4,0087956E-001	2,691954802562604E+002
4,0089867E-001	2,697476537138130E+002
4,0089485E-001	2,702636101721596E+002
4,0093681E-001	2,698922465885594E+002
4,0089867E-001	2,690679835062134E+002
4,0089867E-001	2,695512247171516E+002
4,0085667E-001	2,700870694450435E+002
4,0085670E-001	2,702960003402142E+002
4,0086815E-001	2,692309975423139E+002
4,0087196E-001	2,692949174413895E+002
4,0086433E-001	2,698888569217257E+002
4,0083763E-001	2,703460674252192E+002
4,0091774E-001	2,697665047396798E+002
4,0088341E-001	2,691193325797761E+002
4,0087193E-001	2,696526050908064E+002
4,0087956E-001	2,702101199730544E+002
4,0087575E-001	2,702440264497411E+002
4,4201916E-001	2,692252519784112E+002
4,4887197E-001	3,104484636531347E+002
4,5083317E-001	3,022030465869278E+002
4,5087132E-001	3,017703595642785E+002
4,5080262E-001	3,021879415511458E+002
4,5081410E-001	3,012711551327222E+002
4,5084080E-001	3,006965033176681E+002
4,5084080E-001	3,014819444691018E+002
4,5085606E-001	3,022772946845066E+002
4,5084080E-001	3,022150211599842E+002
4,5085225E-001	3,012033030985374E+002
4,5081407E-001	3,016078585530933E+002
4,5079881E-001	3,024862152830461E+002
4,5085606E-001	3,029347886098077E+002
4,5084843E-001	3,019363208477679E+002
4,5085606E-001	3,016242526636149E+002
4,5084077E-001	3,024086569192704E+002
4,5084465E-001	3,031009406769933E+002
4,5085606E-001	3,026895440235342E+002
4,5079502E-001	3,017675962036129E+002
4,5082551E-001	3,021598959571757E+002
4,5084462E-001	3,029854772768597E+002
4,5084080E-001	3,032246332399325E+002
4,5082936E-001	3,021082496607049E+002
4,5082554E-001	3,019406666852800E+002
4,5079884E-001	3,027266102659256E+002
4,5086750E-001	3,033653839759100E+002
4,5084462E-001	3,026841487963471E+002
4,5089424E-001	3,019556709337059E+002
4,5086369E-001	3,023997558509303E+002
4,5082936E-001	3,032246516847572E+002
4,5082936E-001	3,032577351267551E+002
4,5084462E-001	3,021432142306800E+002
4,5087132E-001	3,021439181247408E+002
4,5084462E-001	3,029530901544595E+002
4,5086750E-001	3,035249569779881E+002
4,5084462E-001	3,026086381499083E+002
4,5081028E-001	3,020971816611577E+002
4,5083699E-001	3,025898381799510E+002
4,5083699E-001	3,034137266223950E+002
4,5083696E-001	3,032120717833164E+002
4,5088658E-001	3,022051598743348E+002
4,5085606E-001	3,023356021505792E+002
4,5084843E-001	3,031464670087098E+002
4,5088276E-001	3,036273007122630E+002
4,5088658E-001	3,025069405765384E+002
4,5083699E-001	3,022403297116489E+002
4,5082554E-001	3,027880457533175E+002
4,5084462E-001	3,035899376803133E+002
4,5083699E-001	3,031076127474744E+002
4,5086369E-001	3,022735576971075E+002
4,5081028E-001	3,025125043523137E+002
4,5084077E-001	3,033371803375023E+002
4,5086750E-001	3,036599592396993E+002
4,5087895E-001	3,024285493453100E+002
4,5086369E-001	3,024041049904445E+002
4,5085990E-001	3,029632197079380E+002
4,5087513E-001	3,037456330028500E+002
4,5082936E-001	3,030027681098160E+002
4,5079884E-001	3,023467143945123E+002
4,5083317E-001	3,026802851487886E+002
4,5081410E-001	3,035023697484177E+002
